"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 37F06L GCamp6m - 76E11 CsChrimson","Female","Gal4","LexA","37F06","76E11","attP1","VK5","4","3:16","Dict(\"EB\" => 3:16)",1,"Picrotoxin","15:44:00 - 15:48:00","10uM",NA,NA,"2015-06-03 Wed"
"*** 37F06L GCamp6m - 76E11 CsChrimson","Female","Gal4","LexA","37F06","76E11","attP1","VK5","4","[25;27:41]","Dict(\"EB\" => [25;27:41])",2,"Picrotoxin","17:38:00 - 17:42:00","10uM",NA,NA,"2015-06-03 Wed"
"*** 84H05 CsChrimson  - 75H04 GCamp6m","Female","LexA","Gal4","84H05","75H04","attP1","VK5","6","3:7",NA,1,NA,NA,NA,NA,":Problematic:","2015-09-07 Mon"
"*** 47G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","47G08","attP1","VK5","5:7","2:5",NA,1,NA,NA,NA,NA,":Problematic:","2015-11-02 Mon"
"*** 60D05L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","60D05","85H06","attP1","VK5","5:7","7:11",NA,2,NA,NA,NA,NA,":Problematic:","2015-11-02 Mon"
"*** 18A05L Chrimson - 60D05 GCamp6m","Female","LexA","Gal4","18A05","60D05","attP1","VK5","5:7","13:32","Dict(\"EB\" => 13:32)",3,"Picrotoxin","15:40:00 - 15:44:00","10uM",NA,NA,"2015-11-02 Mon"
"*** 60D05L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","60D05","85H06","attP1","VK5","5-7","34:37",NA,4,NA,NA,NA,NA,":Problematic:","2015-11-02 Mon"
"*** 47G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","47G08","attP1","VK5","6:8","2:19","Dict(\"EB\" => 2:19)",1,"Picrotoxin","10:16:00 - 10:20:00","10uM",NA,":Problematic:","2015-11-03 Tue"
"*** 60D05L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","60D05","85H06","attP1","VK5","6:8","[20:32;34:39]","Dict(\"NO\" => [20:32;34:39])",2,"Picrotoxin","14:24:00 - 14:28:00","10uM",NA,NA,"2015-11-03 Tue"
"*** 60D05L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","60D05","85H06","attP1","VK5","6:8","40:58","Dict(\"NO\" => 40:58)",3,"Picrotoxin","15:34:00 - 15:38:00","10uM",NA,NA,"2015-11-03 Tue"
"*** 18A05L Chrimson - 60D05 GCamp6m","Female","LexA","Gal4","18A05","60D05","attP1","VK5","6:8","59:77","Dict(\"EB\" => 59:77)",4,"Picrotoxin","16:56:00 - 17:00:00","10uM",NA,NA,"2015-11-03 Tue"
"*** 18A05L Chrimson - 60D05 GCamp6m","Female","LexA","Gal4","18A05","60D05","attP1","VK5","6:8","79:100","Dict(\"EB\" => 79:100)",5,"Picrotoxin","18:04:00 - 18:08:00","10uM",NA,NA,"2015-11-03 Tue"
"*** 47G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","47G08","attP1","VK5","6","1:19","Dict(\"EB\" => 1:19)",1,"Picrotoxin","9:57:00 - 10:01:00","10uM",NA,NA,"2015-11-04 Wed"
"*** 47G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","47G08","attP1","VK5","6","21:38","Dict(\"EB\" => 21:38)",2,"Picrotoxin","14:38:00 - 14:41:00","10uM",NA,NA,"2015-11-04 Wed"
"*** 60D05L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","60D05","85H06","attP1","VK5","6","39:57","Dict(\"NO\" => 39:57)",3,"Picrotoxin","16:02:00 - 16:06:00","10uM",NA,NA,"2015-11-04 Wed"
"*** 18A05L Chrimson - 60D05 GCamp6m","Female","LexA","Gal4","18A05","60D05","attP1","VK5","6","1:9",NA,1,NA,NA,NA,NA,":Problematic:","2015-11-05 Thu"
"*** 18A05L Chrimson - 60D05 GCamp6m","Female","LexA","Gal4","18A05","60D05","attP1","VK5","6","11:18",NA,2,NA,NA,NA,NA,":Problematic:","2015-11-05 Thu"
"*** 55G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","55G08","85H06","attP1","VK5","7","1:7","Dict(\"FB\" => 1:7)",1,NA,NA,NA,NA,NA,"2015-11-12 Thu"
"*** 60D05L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","60D05","87G07","attP1","VK5","7","8:12","Dict(\"NO\" => 8:12)",2,NA,NA,NA,NA,NA,"2015-11-12 Thu"
"*** 84H05 Chrimson - 49H05L GCamp6m","Female","Gal4","LexA","49H05","84H05","attP1","VK5","7","14:33","Dict(\"LAL-out\" => 14:33)",3,"Mecamylamine","15:29:00 - 15:33:00","50uM",NA,NA,"2015-11-12 Thu"
"*** 84H05 Chrimson - 49H05L GCamp6m","Female","Gal4","LexA","49H05","84H05","attP1","VK5","7","34:51","Dict(\"LAL-out\" => 34:51)",NA,"Mecamylamine","16:49:00 - 16:51:30","50uM",NA,NA,"2015-11-12 Thu"
"*** 84H05 Chrimson - 49H05L GCamp6m","Female","Gal4","LexA","49H05","84H05","attP1","VK5","8","1:21","Dict(\"LAL-out\" => 1:21)",1,"Mecamylamine","14:34:00 - 14:36:00","50uM",NA,NA,"2015-11-13 Fri"
"*** 84H05 Chrimson - 49H05L GCamp6m","Female","Gal4","LexA","49H05","84H05","attP1","VK5","8","26:44","Dict(\"LAL-out\" => 26:44)",2,"Mecamylamine","16:10:00 - 16:12:00","50uM",NA,NA,"2015-11-13 Fri"
"*** 85H06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","85H06","76E11","attP1","VK5","7:9","1:5","Dict(\"LAL\" => 1:5)",1,NA,NA,NA,NA,NA,"2015-11-17 Tue"
"*** 55G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","55G08","85H06","attP1","VK5","7:9","6:25","Dict(\"FB\" => 6:25)",2,"Mecamylamine","14:46:00 - 14:48:30","50 uM",NA,NA,"2015-11-17 Tue"
"*** 55G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","55G08","85H06","attP1","VK5","7:9","28:49","Dict(\"FB\" => 28:49)",3,"Mecamylamine","16:14:00 - 16:16:00","50uM",NA,NA,"2015-11-17 Tue"
"*** 60D05L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","60D05","87G07","attP1","VK5","8","1:6","Dict(\"NO\" => 1:6)",1,NA,NA,NA,NA,NA,"2015-11-18 Wed"
"*** 60D05L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","60D05","87G07","attP1","VK5","8","7:12","Dict(\"NO\" => 7:12)",2,NA,NA,NA,NA,NA,"2015-11-18 Wed"
"*** 85H06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","85H06","76E11","attP1","VK5","7:9","[13:16;18]","Dict(\"LAL\" => [13:16;18])",3,NA,NA,NA,NA,NA,"2015-11-18 Wed"
"*** 85H06L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","85H06","76E11","attP1","VK5","7:9","19:24","Dict(\"LAL\" => 19:24)",4,NA,NA,NA,NA,NA,"2015-11-18 Wed"
"*** 55G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","55G08","85H06","attP1","VK5","7:9","25:47","Dict(\"FB\" => 25:47)",5,"Mecamylamine","16:54:00 - 16:57:00","50 uM",NA,NA,"2015-11-18 Wed"
